X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
429;268;0.4285472;0.4230086;0.4285472;0.4230086;536.4;0.2027579;False;11/6/2025 11:45:36 PM:544;1762440336544;;
469;286;0.4677566;0.4512406;0.5502214;0.5447744;529.0;0.1960011;False;11/6/2025 11:45:36 PM:800;1762440336800;;
474;289;0.4734859;0.4554891;0.5487487;0.5433116;523.0;0.2103267;False;11/6/2025 11:45:36 PM:858;1762440336858;;
479;291;0.4775695;0.4585811;0.5487492;0.5433099;521.6;0.2037851;False;11/6/2025 11:45:36 PM:918;1762440336918;;
486;294;0.4848302;0.4642653;0.5522386;0.5468118;516.6;0.1641869;False;11/6/2025 11:45:37 PM:171;1762440337171;;
486;294;0.4848799;0.4643282;0.5415981;0.5361322;510.8;0.1375044;False;11/6/2025 11:45:37 PM:292;1762440337292;;
471;290;0.4699428;0.4570432;0.4382434;0.4327174;508.2;0.1748768;False;11/6/2025 11:45:37 PM:700;1762440337700;;
469;289;0.4680063;0.4561969;0.451948;0.4464172;508.5;0.1418758;False;11/6/2025 11:45:42 PM:75;1762440342075;;
479;294;0.4780152;0.4641435;0.5122556;0.5067719;503.8;0.111112;True;11/6/2025 11:45:42 PM:599;1762440342599;;
469;291;0.468206;0.4583687;0.4465175;0.4410422;508.9;0.1563;False;11/6/2025 11:46:03 PM:0;1762440363000;;
469;291;0.4677858;0.4583643;0.4638058;0.4583013;508.4;0.1894973;False;11/6/2025 11:46:04 PM:495;1762440364495;;
460;287;0.4586428;0.4525146;0.4214131;0.4158589;514.6;0.1640186;False;11/6/2025 11:46:06 PM:196;1762440366196;;
459;287;0.4584614;0.4523967;0.4222646;0.4167239;520.6;0.1754296;False;11/6/2025 11:46:06 PM:255;1762440366255;;
459;287;0.4583237;0.452305;0.4225407;0.4170063;526.7;0.1654941;False;11/6/2025 11:46:06 PM:332;1762440366332;;
459;287;0.4581017;0.452155;0.4217826;0.4162363;531.4;0.1702588;False;11/6/2025 11:46:06 PM:464;1762440366464;;
459;287;0.4578333;0.451969;0.4210624;0.415507;533.3;0.177522;False;11/6/2025 11:46:06 PM:661;1762440366661;;
459;286;0.4576288;0.4518231;0.4205984;0.415038;535.6;0.1678789;False;11/6/2025 11:46:06 PM:856;1762440366856;;
